date,putaway,picking,interleave,total
2-Jan,0,444,0,444
3-Jan,0,533,0,533
4-Jan,197,478,137,675
5-Jan,349,931,345,1280
6-Jan,704,965,579,1669
7-Jan,1188,809,698,1997
8-Jan,531,1084,438,1615
9-Jan,662,1250,571,1912
10-Jan,674,1120,537,1794
11-Jan,839,946,614,1785
12-Jan,792,542,350,1334
13-Jan,658,225,173,883
14-Jan,709,628,300,1337
15-Jan,909,833,642,1742
16-Jan,749,978,570,1727
17-Jan,875,1128,526,2003
18-Jan,923,965,579,1888
19-Jan,926,610,350,1536
20-Jan,1101,646,434,1747
21-Jan,1002,1050,641,2052
22-Jan,926,1039,613,1965
23-Jan,909,933,599,1842
24-Jan,837,1180,612,2017
25-Jan,849,837,551,1686
26-Jan,305,804,169,1109
27-Jan,879,881,489,1760
28-Jan,794,1036,657,1830
29-Jan,1103,951,697,2054
30-Jan,838,862,497,1700
31-Jan,958,229,211,1187
